Tree ID,Longitude,Latitude,Common Name,Condition Class / Infestation Pattern,List of Trees on  residential property,BTM positive trees self reported  on residential property,BTM positive Tree Species on property,Dbh 1. inches,Dbh 2,Dbh 3,Dbh 4,Dbh 5,Dbh 6,Number Observed BTM Nests,Entry Source,BTM (Y/N),Interest in Help,Tree Type,Distance to Water,Proposed Treatment Type (Insert/Injection; Manual Removal; Organic Spray),"Treatm.  Priority (1: High, 2: Med, 3: Low)",Geopoint
539,-69.652367482,44.575610585,Oak-Northern Red,Good,N/A,N/A,1,14,1,0,0,0,0,30,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.652367482 44.575610585)
409,-69.661991992,44.528531891,Oak-Northern Red,Good,N/A,N/A,1,18,0,0,0,0,0,30,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.661991992 44.528531891)
385,-69.660249397,44.534185649,Oak-Northern Red,Fair,N/A,N/A,1,19,0,0,0,0,0,30,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.660249397 44.534185649)
405,-69.643120213,44.534541383,Oak-Northern Red,Fair,N/A,N/A,1,22,0,0,0,0,0,30,Bartlett Invent Feb 2022,Y,N/A,Ornamental,25-250,Insert/Injection,1,POINT(-69.643120213 44.534541383)
80,-69.627292801,44.552707302,Serviceberry,Good,N/A,N/A,1,1,0,0,0,0,0,30,Bartlett Invent Feb 2022,Y,N/A,Bush,<25,Manual Removal,1,POINT(-69.627292801 44.552707302)
103,-69.629823116,44.549624139,Crabapple,Good,N/A,N/A,1,8,0,0,0,0,0,25,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,>250,Organic Spray,1,POINT(-69.629823116 44.549624139)
37,-69.627520494,44.550650788,Crabapple,Good,N/A,N/A,1,5,0,0,0,0,0,25,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,25-250,Organic Spray,1,POINT(-69.627520494 44.550650788)
117,-69.633161938,44.550885231,Elm-American,Good,N/A,N/A,1,19,0,0,0,0,0,25,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.633161938 44.550885231)
231,-69.628123712,44.550409868,Elm-American,Good,N/A,N/A,1,21,0,0,0,0,0,25,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.628123712 44.550409868)
548,-69.652188339,44.574355202,Oak-Northern Red,Good,N/A,N/A,1,2,0,0,0,0,0,25,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.652188339 44.574355202)
447,-69.66124895,44.527790497,Oak-Northern Red,Good,N/A,N/A,1,17,0,0,0,0,0,25,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.66124895 44.527790497)
383,-69.660609127,44.534242873,Oak-Northern Red,Good,N/A,N/A,1,18,0,0,0,0,0,25,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.660609127 44.534242873)
403,-69.643137725,44.534525742,Oak-Northern Red,Fair,N/A,N/A,1,18,17,0,0,0,0,25,Bartlett Invent Feb 2022,Y,N/A,Ornamental,25-250,Insert/Injection,1,POINT(-69.643137725 44.534525742)
319,-69.642382613,44.535067257,Oak-Northern Red,Good,N/A,N/A,1,19,0,0,0,0,0,25,Bartlett Invent Feb 2022,Y,N/A,Ornamental,25-250,Insert/Injection,1,POINT(-69.642382613 44.535067257)
77,-69.627251596,44.552649305,Serviceberry,Good,N/A,N/A,1,2,0,0,0,0,0,25,Bartlett Invent Feb 2022,Y,N/A,Bush,<25,Manual Removal,1,POINT(-69.627251596 44.552649305)
79,-69.627295519,44.552631229,Serviceberry,Good,N/A,N/A,1,2,0,0,0,0,0,25,Bartlett Invent Feb 2022,Y,N/A,Bush,<25,Manual Removal,1,POINT(-69.627295519 44.552631229)
394,-69.65940466,44.526922708,Cherry-Black,Fair,N/A,N/A,1,16,0,0,0,0,0,20,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,>250,Organic Spray,1,POINT(-69.65940466 44.526922708)
36,-69.627561064,44.550660512,Crabapple,Good,N/A,N/A,1,4,0,0,0,0,0,20,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,25-250,Organic Spray,1,POINT(-69.627561064 44.550660512)
35,-69.627587861,44.550682722,Crabapple,Good,N/A,N/A,1,6,0,0,0,0,0,20,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,25-250,Organic Spray,1,POINT(-69.627587861 44.550682722)
89,-69.627235811,44.55280444,Elm-American,Good,N/A,N/A,1,3,0,0,0,0,0,20,Bartlett Invent Feb 2022,Y,N/A,Ornamental,<25,Insert/Injection,1,POINT(-69.627235811 44.55280444)
95,-69.627433234,44.55288368,Elm-American,Good,N/A,N/A,1,4,0,0,0,0,0,20,Bartlett Invent Feb 2022,Y,N/A,Ornamental,25-250,Insert/Injection,1,POINT(-69.627433234 44.55288368)
550,-69.652065966,44.574041444,Oak-Northern Red,Good,N/A,N/A,1,13,10,10,0,0,0,20,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.652065966 44.574041444)
630,-69.652679381,44.576198698,Oak-Northern Red,Good,N/A,N/A,1,13,10,0,0,0,0,20,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.652679381 44.576198698)
645,-69.650807453,44.570977618,Oak-Northern Red,Good,N/A,N/A,1,15,0,0,0,0,0,20,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.650807453 44.570977618)
642,-69.652064231,44.573716781,Oak-Northern Red,Good,N/A,N/A,1,16,0,0,0,0,0,20,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.652064231 44.573716781)
556,-69.651104172,44.570964061,Oak-Northern Red,Good,N/A,N/A,1,20,0,0,0,0,0,20,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.651104172 44.570964061)
629,-69.653245237,44.577431179,Oak-Northern Red,Good,N/A,N/A,1,25,0,0,0,0,0,20,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.653245237 44.577431179)
404,-69.643134555,44.534556744,Oak-Northern Red,Good,N/A,N/A,1,21,0,0,0,0,0,20,Bartlett Invent Feb 2022,Y,N/A,Ornamental,25-250,Insert/Injection,1,POINT(-69.643134555 44.534556744)
255,-69.643590051,44.551037343,Oak-White,Good,N/A,N/A,1,19,0,0,0,0,0,20,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.643590051 44.551037343)
301,-69.630623608,44.568187706,Pear-Callery,Good,N/A,N/A,1,6,6,6,5,0,0,20,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,>250,Organic Spray,1,POINT(-69.630623608 44.568187706)
199,-69.630423726,44.568166277,Pear-Callery,Fair,N/A,N/A,1,13,0,0,0,0,0,20,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,>250,Organic Spray,1,POINT(-69.630423726 44.568166277)
200,-69.630521764,44.568180525,Pear-Callery,Fair,N/A,N/A,1,14,0,0,0,0,0,20,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,>250,Organic Spray,1,POINT(-69.630521764 44.568180525)
196,-69.629933097,44.568092382,Pear-Callery,Poor,N/A,N/A,1,15,0,0,0,0,0,20,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,>250,Organic Spray,1,POINT(-69.629933097 44.568092382)
547,-69.65216823,44.57445103,Oak-Northern Red,Good,N/A,N/A,1,12,0,0,0,0,0,18,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.65216823 44.57445103)
557,-69.651074616,44.570940743,Oak-Northern Red,Good,N/A,N/A,1,14,0,0,0,0,0,18,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.651074616 44.570940743)
480,-69.659877912,44.526985363,Oak-Northern Red,Good,N/A,N/A,1,14,0,0,0,0,0,18,Bartlett Invent Feb 2022,Y,N/A,Ornamental,25-250,Insert/Injection,1,POINT(-69.659877912 44.526985363)
520,-69.654590877,44.579166941,Oak-Northern Red,Fair,N/A,N/A,1,16,15,12,11,9,0,16,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.654590877 44.579166941)
413,-69.662159381,44.528607317,Cherry-Black,Fair,N/A,N/A,1,9,0,0,0,0,0,15,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,>250,Organic Spray,1,POINT(-69.662159381 44.528607317)
224,-69.62820905,44.551830389,Elm-American,Fair,N/A,N/A,1,8,7,0,0,0,0,15,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.62820905 44.551830389)
195,-69.642772202,44.550934295,Elm-American,Good,N/A,N/A,1,12,0,0,0,0,0,15,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.642772202 44.550934295)
204,-69.627628591,44.553294793,Elm-American,Good,N/A,N/A,1,3,0,0,0,0,0,15,Bartlett Invent Feb 2022,Y,N/A,Ornamental,25-250,Insert/Injection,1,POINT(-69.627628591 44.553294793)
202,-69.627530907,44.553180139,Elm-American,Good,N/A,N/A,1,4,0,0,0,0,0,15,Bartlett Invent Feb 2022,Y,N/A,Ornamental,25-250,Insert/Injection,1,POINT(-69.627530907 44.553180139)
541,-69.652270541,44.57530671,Oak-Northern Red,Poor,N/A,N/A,1,10,0,0,0,0,0,15,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.652270541 44.57530671)
504,-69.655004135,44.579749175,Oak-Northern Red,Good,N/A,N/A,1,12,0,0,0,0,0,15,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.655004135 44.579749175)
529,-69.654029137,44.578263159,Oak-Northern Red,Good,N/A,N/A,1,12,0,0,0,0,0,15,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.654029137 44.578263159)
277,-69.643770732,44.534562247,Oak-Northern Red,Good,N/A,N/A,1,13,0,0,0,0,0,15,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.643770732 44.534562247)
644,-69.651208826,44.571125873,Oak-Northern Red,Good,N/A,N/A,1,14,0,0,0,0,0,15,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.651208826 44.571125873)
530,-69.653621634,44.577928306,Oak-Northern Red,Good,N/A,N/A,1,17,0,0,0,0,0,15,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.653621634 44.577928306)
612,-69.65497412,44.580146257,Oak-Northern Red,Good,N/A,N/A,1,18,0,0,0,0,0,15,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.65497412 44.580146257)
555,-69.651122965,44.57101406,Oak-Northern Red,Good,N/A,N/A,1,20,0,0,0,0,0,15,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.651122965 44.57101406)
613,-69.654953897,44.580106902,Oak-Northern Red,Good,N/A,N/A,1,20,0,0,0,0,0,15,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.654953897 44.580106902)
639,-69.652007154,44.574472612,Oak-Northern Red,Fair,N/A,N/A,1,22,0,0,0,0,0,15,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.652007154 44.574472612)
551,-69.652095135,44.573965547,Oak-Northern Red,Good,N/A,N/A,1,24,13,12,12,0,0,15,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.652095135 44.573965547)
476,-69.659816354,44.526984014,Oak-Northern Red,Good,N/A,N/A,1,15,0,0,0,0,0,15,Bartlett Invent Feb 2022,Y,N/A,Ornamental,25-250,Insert/Injection,1,POINT(-69.659816354 44.526984014)
402,-69.643117271,44.534537531,Oak-Northern Red,Poor,N/A,N/A,1,16,0,0,0,0,0,15,Bartlett Invent Feb 2022,Y,N/A,Ornamental,25-250,Insert/Injection,1,POINT(-69.643117271 44.534537531)
397,-69.65951182,44.52693367,Oak-Northern Red,Good,N/A,N/A,1,20,0,0,0,0,0,15,Bartlett Invent Feb 2022,Y,N/A,Ornamental,25-250,Insert/Injection,1,POINT(-69.65951182 44.52693367)
399,-69.659679363,44.526947345,Oak-Northern Red,Good,N/A,N/A,1,25,0,0,0,0,0,15,Bartlett Invent Feb 2022,Y,N/A,Ornamental,25-250,Insert/Injection,1,POINT(-69.659679363 44.526947345)
198,-69.630236962,44.568131596,Pear-Callery,Poor,N/A,N/A,1,12,5,0,0,0,0,15,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,>250,Organic Spray,1,POINT(-69.630236962 44.568131596)
532,-69.653036823,44.577206801,Oak-Northern Red,Good,N/A,N/A,1,15,0,0,0,0,0,14,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.653036823 44.577206801)
343,-69.662730791,44.528887953,Cherry-Black,Good,N/A,N/A,1,6,0,0,0,0,0,13,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,>250,Organic Spray,1,POINT(-69.662730791 44.528887953)
348,-69.662393433,44.528787875,Cherry-Black,Fair,N/A,N/A,1,11,0,0,0,0,0,12,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,>250,Organic Spray,1,POINT(-69.662393433 44.528787875)
28,-69.627586305,44.550794528,Elm-American,Good,N/A,N/A,1,9,0,0,0,0,0,12,Bartlett Invent Feb 2022,Y,N/A,Ornamental,25-250,Insert/Injection,1,POINT(-69.627586305 44.550794528)
331,-69.642671031,44.53471302,Elm-American,Good,N/A,N/A,1,20,0,0,0,0,0,12,Bartlett Invent Feb 2022,Y,N/A,Ornamental,25-250,Insert/Injection,1,POINT(-69.642671031 44.53471302)
492,-69.655936395,44.580562104,Oak-Northern Red,Good,N/A,N/A,1,12,0,0,0,0,0,12,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.655936395 44.580562104)
538,-69.652349943,44.575656798,Oak-Northern Red,Fair,N/A,N/A,1,14,0,0,0,0,0,12,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.652349943 44.575656798)
393,-69.659379634,44.527225591,Oak-Northern Red,Good,N/A,N/A,1,13,0,0,0,0,0,11,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.659379634 44.527225591)
320,-69.642369785,44.535062877,Oak-Northern Red,Good,N/A,N/A,1,20,0,0,0,0,0,11,Bartlett Invent Feb 2022,Y,N/A,Ornamental,25-250,Insert/Injection,1,POINT(-69.642369785 44.535062877)
448,-69.661276374,44.527779086,Cherry-Black,Poor,N/A,N/A,1,7,6,0,0,0,0,10,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,>250,Organic Spray,1,POINT(-69.661276374 44.527779086)
445,-69.660152068,44.534203214,Cherry-Black,Fair,N/A,N/A,1,10,9,0,0,0,0,10,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,>250,Organic Spray,1,POINT(-69.660152068 44.534203214)
351,-69.662369434,44.528731836,Cherry-Black,Poor,N/A,N/A,1,12,12,0,0,0,0,10,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,>250,Organic Spray,1,POINT(-69.662369434 44.528731836)
350,-69.66235045,44.528757969,Cherry-Black,Poor,N/A,N/A,1,13,0,0,0,0,0,10,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,>250,Organic Spray,1,POINT(-69.66235045 44.528757969)
299,-69.643105089,44.534641602,Cherry-Black,Fair,N/A,N/A,1,6,0,0,0,0,0,10,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,25-250,Organic Spray,1,POINT(-69.643105089 44.534641602)
30,-69.627481594,44.550814563,Crabapple,Good,N/A,N/A,1,5,0,0,0,0,0,10,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,25-250,Organic Spray,1,POINT(-69.627481594 44.550814563)
32,-69.627746155,44.550686668,Elm-American,Good,N/A,N/A,1,5,0,0,0,0,0,10,Bartlett Invent Feb 2022,Y,N/A,Ornamental,25-250,Insert/Injection,1,POINT(-69.627746155 44.550686668)
339,-69.662999703,44.529051549,Maple-Sugar,Good,N/A,N/A,1,10,0,0,0,0,0,10,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,>250,Organic Spray,1,POINT(-69.662999703 44.529051549)
401,-69.643196374,44.534567479,Maple-Sugar,Good,N/A,N/A,1,19,0,0,0,0,0,10,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,25-250,Organic Spray,1,POINT(-69.643196374 44.534567479)
608,-69.655138926,44.580275528,Oak-Northern Red,Good,N/A,N/A,1,11,0,0,0,0,0,10,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.655138926 44.580275528)
638,-69.652068179,44.574683743,Oak-Northern Red,Fair,N/A,N/A,1,11,0,0,0,0,0,10,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.652068179 44.574683743)
534,-69.652936893,44.57690561,Oak-Northern Red,Good,N/A,N/A,1,14,0,0,0,0,0,10,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.652936893 44.57690561)
606,-69.655165849,44.580304353,Oak-Northern Red,Good,N/A,N/A,1,14,0,0,0,0,0,10,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.655165849 44.580304353)
634,-69.652305115,44.575447509,Oak-Northern Red,Good,N/A,N/A,1,14,0,0,0,0,0,10,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.652305115 44.575447509)
615,-69.65495702,44.580066173,Oak-Northern Red,Good,N/A,N/A,1,15,0,0,0,0,0,10,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.65495702 44.580066173)
395,-69.659424262,44.526949019,Oak-Northern Red,Good,N/A,N/A,1,16,0,0,0,0,0,10,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.659424262 44.526949019)
643,-69.651331593,44.572171795,Oak-Northern Red,Good,N/A,N/A,1,16,0,0,0,0,0,10,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.651331593 44.572171795)
611,-69.65504533,44.58020694,Oak-Northern Red,Good,N/A,N/A,1,17,0,0,0,0,0,10,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.65504533 44.58020694)
603,-69.655206893,44.580400524,Oak-Northern Red,Good,N/A,N/A,1,19,18,0,0,0,0,10,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.655206893 44.580400524)
329,-69.642572271,44.534761682,Oak-Northern Red,Good,N/A,N/A,1,21,0,0,0,0,0,10,Bartlett Invent Feb 2022,Y,N/A,Ornamental,25-250,Insert/Injection,1,POINT(-69.642572271 44.534761682)
426,-69.659002272,44.534143296,Poplar-Aspen,Fair,N/A,N/A,1,8,0,0,0,0,0,10,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.659002272 44.534143296)
427,-69.659022498,44.534149994,Poplar-Aspen,Good,N/A,N/A,1,10,0,0,0,0,0,10,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.659022498 44.534149994)
428,-69.659083374,44.53413742,Poplar-Aspen,Fair,N/A,N/A,1,14,0,0,0,0,0,10,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.659083374 44.53413742)
62,-69.627102918,44.552232602,Serviceberry,Good,N/A,N/A,1,2,0,0,0,0,0,10,Bartlett Invent Feb 2022,Y,N/A,Bush,<25,Manual Removal,1,POINT(-69.627102918 44.552232602)
531,-69.653361663,44.577635094,Oak-Northern Red,Good,N/A,N/A,1,9,0,0,0,0,0,9,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.653361663 44.577635094)
544,-69.652410953,44.574988309,Oak-Northern Red,Good,N/A,N/A,1,10,0,0,0,0,0,9,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.652410953 44.574988309)
545,-69.652365954,44.574932431,Oak-Northern Red,Fair,N/A,N/A,1,12,0,0,0,0,0,9,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.652365954 44.574932431)
512,-69.654787765,44.579638475,Oak-Northern Red,Poor,N/A,N/A,1,14,0,0,0,0,0,9,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.654787765 44.579638475)
537,-69.652682592,44.576236757,Oak-Northern Red,Good,N/A,N/A,1,16,0,0,0,0,0,9,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.652682592 44.576236757)
474,-69.659735434,44.526937209,Cherry-Black,Poor,N/A,N/A,1,14,0,0,0,0,0,8,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,25-250,Organic Spray,1,POINT(-69.659735434 44.526937209)
528,-69.654278425,44.578514877,Oak-Northern Red,Good,N/A,N/A,1,7,0,0,0,0,0,8,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.654278425 44.578514877)
533,-69.653068348,44.577201626,Oak-Northern Red,Fair,N/A,N/A,1,16,0,0,0,0,0,8,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.653068348 44.577201626)
478,-69.659840362,44.526965236,Oak-Northern Red,Good,N/A,N/A,1,13,0,0,0,0,0,8,Bartlett Invent Feb 2022,Y,N/A,Ornamental,25-250,Insert/Injection,1,POINT(-69.659840362 44.526965236)
345,-69.662604021,44.528882558,Elm-American,Good,N/A,N/A,1,6,0,0,0,0,0,7,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.662604021 44.528882558)
114,-69.632952518,44.550781124,Elm-Chinese,Fair,N/A,N/A,1,8,0,0,0,0,0,7,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.632952518 44.550781124)
636,-69.65230187,44.575403517,Oak-Northern Red,Good,N/A,N/A,1,6,0,0,0,0,0,7,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.65230187 44.575403517)
